,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,net_capital
38,31,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,38,Unknown,1,0
41,53,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,0,0
42,24,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,0,0
43,49,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
44,25,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,35,US,0,0
45,57,Government,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Male,40,US,1,0
47,44,Private,Advanced Degree,14,Previously Married,White Collar,Not family,White,Female,40,US,0,0
50,25,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Female,40,US,0,0
52,47,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Female,60,Other,1,-1902
53,50,Government,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,55,US,1,0
54,47,Self-employed,High School Graduate,9,Previously Married,White Collar,Not family,White,Male,60,US,0,0
55,43,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,0
58,41,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,48,US,0,0
60,30,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,0,2407
61,32,Unknown,No formal education,4,Married,Unknown,Not family,White,Male,40,Unknown,0,0
62,48,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
63,42,Private,Advanced Degree,16,Married,White Collar,Spouse,White,Male,45,US,1,0
64,29,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Male,58,US,0,0
65,36,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
66,28,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
67,53,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,40,US,1,0
68,49,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,0
72,29,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,70,US,1,0
74,79,Private,Collage/Associate Degree,10,Married,White Collar,Other Relative,White,Male,20,US,0,0
77,67,Unknown,Some High School,6,Married,Unknown,Spouse,White,Male,2,US,0,0
79,31,Government,No formal education,4,Married,Blue Collar,Spouse,White,Male,40,US,0,0
80,18,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Male,30,US,0,0
81,52,Private,Bachelor's Degree,13,Married,Service,Spouse,White,Male,40,Other,0,0
82,46,Private,High School Graduate,9,Married,Service,Spouse,White,Female,40,US,0,0
83,59,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,48,US,0,0
84,44,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Female,40,US,1,14344
87,33,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,50,US,0,0
88,30,Private,Some High School,5,Never Married,White Collar,Not family,White,Male,40,US,0,0
89,43,Government,Advanced Degree,16,Never Married,White Collar,Not family,White,Female,50,US,1,0
91,37,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Female,40,US,0,0
93,30,Private,High School Graduate,9,Married,White Collar,Spouse,Other,Female,35,Unknown,0,-1573
95,29,Government,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Male,50,US,0,0
96,48,Self-employed,Advanced Degree,16,Married,White Collar,Spouse,White,Male,60,US,1,-1902
97,37,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,48,US,1,0
100,76,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,0
101,44,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,60,US,1,15024
102,47,Self-employed,Advanced Degree,14,Never Married,White Collar,Not family,White,Female,50,US,0,0
104,29,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
105,32,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,7688
108,31,Government,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
109,42,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
110,24,Private,Bachelor's Degree,13,Never Married,White Collar,Other Relative,White,Male,40,US,0,0
111,38,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Male,40,US,1,0
112,56,Self-employed,High School Graduate,9,Married,Service,Spouse,White,Male,50,Other,1,-1887
113,28,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,25,US,0,4064
115,53,Private,Some High School,5,Married,Blue Collar,Spouse,White,Male,50,US,0,0
116,56,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,0,0
118,55,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,56,US,0,0
119,22,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,41,US,0,0
121,40,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,60,US,0,0
123,29,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
125,47,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Female,40,US,1,0
128,35,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Male,40,US,0,0
129,39,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
131,24,Private,High School Graduate,9,Never Married,Service,Not family,White,Female,40,US,0,-1762
132,38,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,35,US,0,4386
133,37,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,0,0
135,38,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,Other,1,0
136,43,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,60,US,0,0
139,49,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,Other,Male,40,US,1,0
140,61,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
144,70,Private,Collage/Associate Degree,10,Never Married,White Collar,Other Relative,White,Male,40,US,0,0
145,31,Private,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Female,30,US,0,0
146,22,Private,Collage/Associate Degree,10,Married,Service,Spouse,White,Male,24,US,0,0
147,36,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,24,US,0,0
148,64,Private,Some High School,7,Married,Blue Collar,Spouse,White,Male,40,US,0,-2179
149,43,Unknown,Collage/Associate Degree,10,Previously Married,Unknown,Not family,White,Female,40,US,0,0
150,47,Government,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,38,Other,0,0
151,34,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
152,33,Private,Bachelor's Degree,13,Never Married,White Collar,Other Relative,Other,Female,40,Other,0,0
154,52,Unknown,High School Graduate,9,Previously Married,Unknown,Not family,White,Male,45,US,1,0
155,48,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,46,US,0,0
156,23,Private,Bachelor's Degree,13,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
157,71,Self-employed,Collage/Associate Degree,10,Previously Married,White Collar,Not family,Other,Male,2,US,0,-1816
158,29,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,60,US,0,0
159,42,Private,Bachelor's Degree,13,Previously Married,Service,Other Relative,Other,Male,50,US,0,0
160,68,Unknown,No formal education,2,Previously Married,Unknown,Not family,White,Female,20,US,0,0
161,25,Private,High School Graduate,9,Never Married,Service,Not family,White,Female,40,US,0,0
162,44,Self-employed,Advanced Degree,14,Previously Married,White Collar,Not family,Other,Female,40,US,0,0
163,28,Private,High School Graduate,9,Never Married,White Collar,Not family,Other,Female,40,Other,0,0
164,45,Self-employed,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,0
165,36,Private,Collage/Associate Degree,10,Previously Married,Service,Not family,White,Female,40,Other,0,0
170,27,Private,High School Graduate,9,Never Married,Service,Not family,White,Male,40,US,0,-1980
172,51,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,-1977
173,27,Private,Bachelor's Degree,13,Never Married,Blue Collar,Not family,White,Male,50,US,0,0
174,28,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
175,27,Private,High School Graduate,9,Married,White Collar,Not family,White,Female,25,US,0,0
177,34,Private,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Male,40,US,0,0
179,33,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,65,US,0,0
180,44,Government,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Male,38,US,1,0
181,43,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
182,30,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,Other,Male,45,US,0,0
184,37,Government,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,42,US,1,0
185,34,Private,High School Graduate,9,Married,White Collar,Spouse,Other,Male,40,US,0,0
186,41,Self-employed,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,40,US,0,0
187,53,Unknown,Bachelor's Degree,13,Previously Married,Unknown,Not family,White,Female,50,US,0,0
188,31,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Female,50,US,0,0
189,58,Government,Advanced Degree,16,Married,White Collar,Spouse,White,Male,1,US,1,0
192,41,Government,Bachelor's Degree,13,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
193,47,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,45,US,0,0
194,41,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,24,US,0,0
195,23,Private,No formal education,3,Married,Blue Collar,Other Relative,White,Male,40,Other,0,0
196,36,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
197,40,Government,Advanced Degree,14,Never Married,White Collar,Not family,White,Female,55,US,1,14084
198,35,Private,Advanced Degree,14,Married,White Collar,Other Relative,White,Male,40,US,1,7298
199,24,Self-employed,High School Graduate,9,Never Married,White Collar,Not family,White,Male,40,US,0,0
200,26,Private,Advanced Degree,14,Never Married,White Collar,Not family,White,Female,40,US,0,-1876
202,51,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
203,42,Government,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,40,US,0,-1340
204,37,Government,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,35,US,0,0
206,36,Private,Bachelor's Degree,13,Married,Service,Spouse,Other,Male,36,US,1,7298
207,35,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,60,US,0,0
208,58,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Female,35,US,1,15024
210,44,Government,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
211,37,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,0
212,35,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,Other,Female,40,US,0,0
213,60,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
215,37,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Male,60,US,1,0
217,38,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,Other,0,0
218,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,55,US,0,0
219,25,Private,Some High School,6,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
220,31,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
221,64,Unknown,No formal education,2,Previously Married,Unknown,Not family,White,Male,40,US,0,0
222,90,Private,High School Graduate,9,Never Married,Service,Not family,Other,Male,40,US,0,-2206
223,54,Private,High School Graduate,9,Married,White Collar,Spouse,Other,Male,20,US,0,0
226,60,Unknown,Some High School,6,Previously Married,Unknown,Not family,Other,Female,10,US,0,0
227,66,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,0,1409
229,65,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
230,35,Private,Some High School,7,Previously Married,Blue Collar,Not family,Other,Male,40,US,0,3674
231,41,Private,High School Graduate,9,Previously Married,White Collar,Not family,Other,Female,38,US,0,0
232,25,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,42,US,0,0
233,33,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Other Relative,Other,Female,40,US,0,0
234,28,Private,Advanced Degree,15,Never Married,White Collar,Not family,White,Male,55,US,1,0
235,59,Government,High School Graduate,9,Married,Service,Spouse,White,Male,40,US,0,0
236,40,Government,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,38,US,0,0
237,41,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,Other,1,0
238,38,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,70,US,1,0
240,40,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
241,41,Self-employed,High School Graduate,9,Married,Service,Spouse,White,Female,20,US,0,0
244,38,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Male,40,US,0,-1741
245,56,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,35,Unknown,0,0
246,58,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,45,US,1,0
247,32,Private,High School Graduate,9,Never Married,Service,Not family,White,Female,34,US,0,0
249,45,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,Unknown,0,0
250,41,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Female,40,US,1,0
251,42,Private,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Female,40,US,0,0
252,59,Government,Some High School,6,Previously Married,Service,Not family,Other,Female,30,US,0,0
254,58,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Male,20,US,0,0
255,42,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,Other,1,0
257,32,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,30,US,0,0
259,50,Private,No formal education,4,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
261,45,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,60,US,0,0
263,59,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,4064
264,26,Private,Some High School,7,Married,Blue Collar,Spouse,White,Male,40,US,0,0
265,37,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Male,75,Other,1,0
267,64,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
268,33,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,45,US,0,0
269,33,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Female,40,US,1,0
270,61,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
272,50,Self-employed,Advanced Degree,14,Married,Blue Collar,Spouse,White,Male,98,US,0,2407
275,43,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
276,44,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,1,7298
277,35,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,40,US,0,0
280,22,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,15,Other,0,0
281,42,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,1,5178
283,60,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,42,US,0,0
285,57,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,15024
286,41,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Male,60,US,1,0
287,50,Private,Collage/Associate Degree,10,Previously Married,Service,Not family,White,Male,45,US,0,0
288,25,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,40,US,0,0
289,50,Private,No formal education,4,Married,Blue Collar,Spouse,White,Male,40,Other,0,0
290,36,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,45,US,0,0
291,31,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
294,27,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Female,40,US,0,0
295,65,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,16,US,0,0
296,37,Self-employed,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,60,US,0,0
297,39,Unknown,Advanced Degree,14,Married,Unknown,Spouse,Other,Female,40,Unknown,0,3464
299,38,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Male,80,US,0,0
300,48,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,7688
301,21,Private,Collage/Associate Degree,10,Never Married,Service,Not family,Other,Female,25,US,0,0
302,31,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,45,US,1,0
303,55,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,4386
304,24,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Female,40,Other,0,0
305,43,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
309,41,Self-employed,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,54,US,1,0
310,26,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,0
311,34,Private,Advanced Degree,14,Married,White Collar,Spouse,Other,Male,35,Other,1,7298
313,36,Self-employed,Bachelor's Degree,13,Previously Married,White Collar,Not family,Other,Female,40,US,1,0
316,77,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,0
318,29,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,40,US,0,0
319,62,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,24,US,0,0
320,39,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
321,43,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,50,US,0,-1485
322,35,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,45,US,0,0
323,29,Private,Some High School,7,Never Married,White Collar,Not family,White,Female,40,US,0,0
324,76,Self-employed,Advanced Degree,14,Married,Blue Collar,Spouse,White,Male,10,US,0,0
325,63,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,45,US,0,0
327,43,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,50,US,1,-1887
328,58,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
329,66,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,55,US,0,2050
330,41,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,Other,Male,45,US,0,0
331,26,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,0
333,55,Government,Some High School,6,Married,White Collar,Spouse,White,Male,40,US,0,0
334,53,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
335,17,Private,No formal education,3,Never Married,Service,Other Relative,White,Male,48,Other,0,0
336,30,Private,High School Graduate,9,Never Married,Blue Collar,Other Relative,White,Male,40,US,0,0
337,49,Private,Advanced Degree,14,Never Married,White Collar,Not family,White,Male,60,US,0,0
338,19,Private,High School Graduate,9,Never Married,White Collar,Not family,Other,Male,30,Other,0,0
339,45,Private,High School Graduate,9,Married,Service,Spouse,Other,Male,40,US,0,0
343,33,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,20,US,0,0
345,43,Self-employed,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,42,US,0,0
346,67,Unknown,Some High School,7,Married,Unknown,Spouse,White,Male,8,US,0,0
350,33,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
351,26,Private,High School Graduate,9,Married,Service,Spouse,White,Male,40,US,0,0
352,33,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
353,46,Government,Some High School,7,Married,Blue Collar,Spouse,White,Male,30,US,0,0
354,59,Unknown,Bachelor's Degree,13,Married,Unknown,Spouse,White,Male,40,US,1,0
355,38,Government,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
356,65,Private,Some High School,7,Previously Married,Service,Not family,Other,Male,40,US,0,0
358,42,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,35,US,0,0
359,26,Self-employed,Some High School,5,Married,Blue Collar,Spouse,White,Male,40,Other,0,0
360,36,Private,Some High School,6,Married,Service,Spouse,White,Female,24,US,0,0
361,62,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,0
362,43,Private,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,45,US,0,0
363,43,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,45,US,1,-1564
364,22,Private,High School Graduate,9,Married,White Collar,Not family,White,Male,55,US,0,0
365,28,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
366,56,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,45,US,0,0
368,57,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,45,US,1,0
369,39,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
370,26,Government,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,15,US,0,0
374,44,Private,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Male,40,US,0,0
376,33,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Female,40,US,0,0
377,23,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,40,US,0,0
378,46,Self-employed,Advanced Degree,14,Previously Married,White Collar,Not family,White,Male,30,US,0,0
379,38,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,0,0
380,54,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
381,46,Private,No formal education,3,Previously Married,Blue Collar,Not family,White,Female,45,US,0,-2339
382,25,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
383,46,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
384,36,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Female,40,US,0,0
385,23,Private,High School Graduate,9,Never Married,Service,Not family,White,Female,25,US,0,0
387,44,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,6,US,1,-2415
389,19,Private,High School Graduate,9,Never Married,Service,Other Relative,White,Female,40,US,0,0
390,35,Private,High School Graduate,9,Married,Service,Spouse,White,Female,40,US,1,0
391,27,Private,Bachelor's Degree,13,Never Married,Blue Collar,Not family,White,Male,50,US,0,0
393,34,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,45,Unknown,1,7688
394,34,Private,High School Graduate,9,Never Married,Service,Not family,White,Female,35,US,0,0
395,44,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,0
396,45,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Female,40,US,0,0
397,20,Unknown,High School Graduate,9,Never Married,Unknown,Other Relative,White,Female,35,US,0,0
398,25,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,55,US,1,0
399,52,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
401,28,Private,Collage/Associate Degree,10,Never Married,Service,Not family,White,Female,40,US,0,0
404,28,Private,No formal education,4,Married,Blue Collar,Spouse,Other,Male,40,Other,0,-2179
405,41,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,65,US,1,-1977
406,28,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
407,46,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,25,US,0,0
408,28,Unknown,Collage/Associate Degree,10,Married,Unknown,Spouse,White,Female,40,US,1,-1887
409,32,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,0,0
410,41,Government,Collage/Associate Degree,10,Previously Married,Service,Not family,Other,Female,24,US,0,0
411,24,Private,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Female,40,US,0,0
412,33,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
413,46,Private,Advanced Degree,16,Married,White Collar,Spouse,White,Male,60,US,1,15024
415,35,Private,Some High School,8,Previously Married,Blue Collar,Not family,White,Male,50,US,1,0
419,34,Government,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Female,40,US,0,0
420,20,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,30,US,0,0
422,32,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Female,40,US,1,0
423,29,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
424,33,Private,Some High School,6,Never Married,Blue Collar,Not family,White,Female,35,US,0,0
425,25,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,60,US,0,0
426,36,Government,Advanced Degree,14,Never Married,White Collar,Not family,White,Male,40,US,0,-1408
427,23,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,72,Other,0,0
428,63,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
